Date,State,Confirmed,Active,Recovered,Deaths,Tested,Positive,TPR
2020-03-14,Andaman and Nicobar Islands,0,0,0,0,NA,NA,NA
2020-03-14,Andhra Pradesh,1,1,0,0,NA,NA,NA
2020-03-14,Arunachal Pradesh,0,0,0,0,NA,NA,NA
2020-03-14,Assam,0,0,0,0,NA,NA,NA
2020-03-14,Bihar,0,0,0,0,NA,NA,NA
2020-03-14,Chandigarh,0,0,0,0,NA,NA,NA
2020-03-14,Chhattisgarh,0,0,0,0,NA,NA,NA
2020-03-14,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,NA,NA,NA
2020-03-14,Delhi,7,5,1,1,NA,NA,NA
2020-03-14,Goa,0,0,0,0,NA,NA,NA
2020-03-14,Gujarat,0,0,0,0,NA,NA,NA
2020-03-14,Haryana,14,14,0,0,NA,NA,NA
2020-03-14,Himachal Pradesh,0,0,0,0,NA,NA,NA
2020-03-14,Jammu and Kashmir,2,2,0,0,NA,NA,NA
2020-03-14,Jharkhand,0,0,0,0,NA,NA,NA
2020-03-14,Karnataka,6,5,0,1,NA,NA,NA
2020-03-14,Kerala,19,16,3,0,NA,NA,NA
2020-03-14,Ladakh,0,0,0,0,NA,NA,NA
2020-03-14,Lakshadweep,0,0,0,0,NA,NA,NA
2020-03-14,Madhya Pradesh,0,0,0,0,NA,NA,NA
2020-03-14,Maharashtra,14,14,0,0,NA,NA,NA
2020-03-14,Manipur,0,0,0,0,NA,NA,NA
2020-03-14,Meghalaya,0,0,0,0,NA,NA,NA
2020-03-14,Mizoram,0,0,0,0,NA,NA,NA
2020-03-14,Nagaland,0,0,0,0,NA,NA,NA
2020-03-14,Odisha,0,0,0,0,NA,NA,NA
2020-03-14,Puducherry,0,0,0,0,NA,NA,NA
2020-03-14,Punjab,1,1,0,0,NA,NA,NA
2020-03-14,Rajasthan,3,2,1,0,NA,NA,NA
2020-03-14,Sikkim,0,0,0,0,NA,NA,NA
2020-03-14,Tamil Nadu,1,1,0,0,NA,NA,NA
2020-03-14,Telangana,1,1,0,0,NA,NA,NA
2020-03-14,Tripura,0,0,0,0,NA,NA,NA
2020-03-14,Uttar Pradesh,12,8,4,0,NA,NA,NA
2020-03-14,Uttarakhand,0,0,0,0,NA,NA,NA
2020-03-14,West Bengal,0,0,0,0,NA,NA,NA
2020-03-15,Andaman and Nicobar Islands,0,0,0,0,NA,NA,NA
2020-03-15,Andhra Pradesh,1,1,0,0,NA,NA,NA
2020-03-15,Arunachal Pradesh,0,0,0,0,NA,NA,NA
2020-03-15,Assam,0,0,0,0,NA,NA,NA
2020-03-15,Bihar,0,0,0,0,NA,NA,NA
2020-03-15,Chandigarh,0,0,0,0,NA,NA,NA
2020-03-15,Chhattisgarh,0,0,0,0,NA,NA,NA
2020-03-15,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,NA,NA,NA
2020-03-15,Delhi,7,4,2,1,NA,NA,NA
2020-03-15,Goa,0,0,0,0,NA,NA,NA
